Size_KB,Pattern,Stride_B,Run,Accesses,MeanLatency_ns,GBps
131072,sequential,1024,15,524288,4.26634,3.49273
131072,sequential,1024,16,524288,4.39787,3.38827
131072,sequential,1024,17,524288,4.54585,3.27797
131072,sequential,1024,18,524288,4.3176,3.45126
131072,sequential,1024,19,524288,4.32785,3.44308
131072,sequential,1024,20,524288,4.45231,3.34684
131072,random,1024,1,524288,4.36886,3.41077
131072,random,1024,2,524288,4.6103,3.23215
131072,random,1024,3,524288,4.54601,3.27786
131072,random,1024,4,524288,4.3718,3.40847
131072,random,1024,5,524288,4.43578,3.35931
131072,random,1024,6,524288,4.69351,3.17485
131072,random,1024,7,524288,4.44539,3.35205
131072,random,1024,8,524288,4.38364,3.39926
131072,random,1024,9,524288,4.56103,3.26706
131072,random,1024,10,524288,4.60402,3.23655
131072,random,1024,11,524288,4.37323,3.40736
131072,random,1024,12,524288,4.48561,3.32199
131072,random,1024,13,524288,4.65949,3.19802
131072,random,1024,14,524288,4.37164,3.4086
131072,random,1024,15,524288,4.42465,3.36776
131072,random,1024,16,524288,4.53607,3.28504
131072,random,1024,17,524288,4.59091,3.2458
131072,random,1024,18,524288,4.41488,3.37522
131072,random,1024,19,524288,4.53297,3.28728
131072,random,1024,20,524288,4.58543,3.24968
1048576,sequential,64,1,67108864,2.54724,5.84992
1048576,sequential,64,2,67108864,1.7721,8.40878
1048576,sequential,64,3,67108864,1.8161,8.20504
1048576,sequential,64,4,67108864,1.84037,8.09682
1048576,sequential,64,5,67108864,1.81912,8.19139
1048576,sequential,64,6,67108864,1.84764,8.06497
1048576,sequential,64,7,67108864,1.85252,8.04373
1048576,sequential,64,8,67108864,1.791,8.32001
1048576,sequential,64,9,67108864,1.81477,8.21103
1048576,sequential,64,10,67108864,1.8484,8.06167
1048576,sequential,64,11,67108864,1.7977,8.28901
1048576,sequential,64,12,67108864,1.82221,8.17753
1048576,sequential,64,13,67108864,1.82926,8.14601
1048576,sequential,64,14,67108864,1.81943,8.19
1048576,sequential,64,15,67108864,1.80716,8.24562
1048576,sequential,64,16,67108864,1.88887,7.88892
1048576,sequential,64,17,67108864,2.70884,5.50094
1048576,sequential,64,18,67108864,1.85663,8.02592
1048576,sequential,64,19,67108864,1.83017,8.14197
1048576,sequential,64,20,67108864,1.82117,8.18221
1048576,random,64,1,67108864,5.47771,2.72033
1048576,random,64,2,67108864,5.45946,2.72942
1048576,random,64,3,67108864,5.42588,2.74631
1048576,random,64,4,67108864,5.36992,2.77493
1048576,random,64,5,67108864,5.36632,2.77679
1048576,random,64,6,67108864,5.3682,2.77582
1048576,random,64,7,67108864,5.36154,2.77927
1048576,random,64,8,67108864,5.60907,2.65662
1048576,random,64,9,67108864,5.77071,2.5822
1048576,random,64,10,67108864,5.62099,2.65099
1048576,random,64,11,67108864,5.38163,2.76889
1048576,random,64,12,67108864,5.36524,2.77735
1048576,random,64,13,67108864,5.35001,2.78526
1048576,random,64,14,67108864,5.37128,2.77423
1048576,random,64,15,67108864,5.36384,2.77808
1048576,random,64,16,67108864,5.3502,2.78516
1048576,random,64,17,67108864,5.35795,2.78113
1048576,random,64,18,67108864,5.38608,2.76661
1048576,random,64,19,67108864,5.76656,2.58407
1048576,random,64,20,67108864,6.35166,2.34603
1048576,sequential,256,1,16777216,5.23289,2.8476
1048576,sequential,256,2,16777216,5.19971,2.86577
1048576,sequential,256,3,16777216,5.14325,2.89722
1048576,sequential,256,4,16777216,5.5292,2.695
1048576,sequential,256,5,16777216,5.2739,2.82545
1048576,sequential,256,6,16777216,5.32594,2.79785
1048576,sequential,256,7,16777216,5.24373,2.84171
1048576,sequential,256,8,16777216,5.26717,2.82906
1048576,sequential,256,9,16777216,5.25984,2.83301
1048576,sequential,256,10,16777216,5.25509,2.83557
1048576,sequential,256,11,16777216,5.2356,2.84612
