Size_KB,Run,Latency_ns,Bandwidth_GBps
262144,4,1.02236,58.3011
262144,5,1.00751,59.1605
262144,6,0.999818,59.6155
262144,7,1.00253,59.4542
262144,8,1.00036,59.5829
262144,9,1.00044,59.5782
262144,10,1.00966,59.0342
262144,11,1.00015,59.5959
262144,12,1.00206,59.4819
262144,13,0.999113,59.6576
262144,14,1.00142,59.5203
262144,15,0.998725,59.6807
262144,16,1.0133,58.8224
262144,17,1.00164,59.5073
262144,18,0.999629,59.6267
262144,19,1.00337,59.4042
262144,20,0.999202,59.6522
262144,21,0.998974,59.6659
262144,22,1.00181,59.4972
262144,23,1.00308,59.4218
262144,24,1.00263,59.4483
262144,25,1.00092,59.5498
262144,26,1.01434,58.7619
262144,27,1.00154,59.5132
262144,28,0.999689,59.6232
262144,29,1.03465,57.6087
262144,30,0.994116,59.9574
262144,31,1.00051,59.574
262144,32,0.996768,59.7979
262144,33,0.994444,59.9377
262144,34,0.995835,59.854
262144,35,0.995874,59.8516
262144,36,0.999103,59.6582
262144,37,0.999024,59.6629
262144,38,1.01775,58.5652
262144,39,1.00058,59.5699
262144,40,0.998845,59.6736
